School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Longwood,32,-1.75,-6.35,2341,2119,1280,737,1693,.435,251,722,.348,394,549,.718,271,1009,389,189,106,462,546,831,1837,.452,241,685,.352,438,607,.722,357,1111,398,206,70,380,531
Louisiana,34,4.27,-0.51,2630,2362,1365,859,1944,.442,199,592,.336,445,633,.703,302,1035,362,225,107,428,621,950,1972,.482,239,635,.376,491,720,.682,377,1241,489,244,102,415,577
Louisiana State,33,3.32,6.44,2231,2334,1320,831,1859,.447,265,773,.343,407,564,.722,316,1125,432,199,119,384,541,768,1875,.410,239,730,.327,456,632,.722,376,1156,406,223,88,405,560
Louisiana Tech,33,0.10,1.90,2383,2320,1350,789,1771,.446,279,752,.371,463,661,.700,301,1077,466,226,116,502,530,854,1930,.442,281,814,.345,394,546,.722,359,1145,408,260,87,451,570
Louisiana-Monroe,32,-8.64,-0.57,2157,2235,1295,804,1838,.437,250,722,.346,377,510,.739,317,1134,434,204,117,405,515,759,1860,.408,242,690,.351,397,557,.713,345,1124,403,220,114,405,484
Louisville,32,-5.39,6.45,2046,2425,1280,877,1862,.471,260,739,.352,411,569,.722,316,1064,492,224,112,325,536,716,1700,.421,200,608,.329,414,559,.741,294,1031,299,145,90,478,527
Loyola (IL),31,-4.65,0.44,2089,2247,1255,769,1705,.451,223,649,.344,486,640,.759,290,1007,394,249,97,376,526,757,1638,.462,220,658,.334,355,509,.697,233,960,428,175,94,464,601
Loyola (MD),33,-12.05,-6.14,2222,2331,1325,862,1804,.478,239,658,.363,368,520,.708,285,1082,468,224,89,452,536,822,1821,.451,250,701,.357,328,509,.644,301,1035,459,247,78,446,517
Loyola Marymount,31,4.98,4.32,2335,2265,1255,809,1773,.456,202,601,.336,445,616,.722,251,983,371,160,86,354,577,832,1831,.454,289,792,.365,382,569,.671,328,1119,366,169,86,397,602
Maine,30,-8.88,-4.66,2054,2091,1215,773,1671,.463,210,612,.343,335,468,.716,279,1029,402,176,94,418,383,784,1711,.458,198,595,.333,288,396,.727,232,924,415,284,62,371,446
Manhattan,30,-9.87,-4.94,2016,2112,1225,759,1723,.441,228,628,.363,364,517,.704,340,1085,423,227,92,426,476,733,1682,.436,205,616,.333,343,520,.660,274,952,370,227,105,406,492
Marist,33,-8.44,-5.68,2110,2201,1325,782,1893,.413,249,711,.350,386,538,.717,341,1184,381,190,88,365,508,745,1819,.410,253,771,.328,367,526,.698,294,1131,357,195,124,392,509
Marquette,36,17.07,8.01,2856,2530,1460,919,2067,.445,269,776,.347,423,602,.703,385,1276,534,204,119,570,550,1056,2174,.486,322,912,.353,422,588,.718,317,1146,624,330,108,386,582
Marshall,32,7.13,-2.84,2616,2281,1295,852,2016,.423,222,693,.320,355,558,.636,408,1233,400,206,54,478,464,986,2120,.465,264,781,.338,380,548,.693,395,1247,561,288,169,372,526
Maryland,35,14.58,8.35,2440,2222,1405,814,1912,.426,197,610,.323,397,543,.731,326,1124,384,167,119,417,642,862,1925,.448,233,710,.328,483,660,.732,342,1175,398,191,131,373,560
Maryland-Baltimore County,32,-6.22,-6.96,2378,2328,1285,851,1881,.452,272,721,.377,354,487,.727,288,1113,432,168,92,370,499,869,1931,.450,257,754,.341,383,511,.750,297,1093,456,180,81,323,467
Maryland-Eastern Shore,31,-7.63,-5.48,2162,2054,1245,729,1674,.435,197,611,.322,399,559,.714,295,1057,387,207,99,589,494,776,1812,.428,229,720,.318,381,530,.719,305,988,417,345,59,454,515
Massachusetts,31,-1.34,0.30,2163,2214,1240,779,1794,.434,242,731,.331,414,581,.713,303,1071,461,240,108,421,579,775,1868,.415,182,555,.328,431,602,.716,404,1187,423,211,119,443,541
Massachusetts-Lowell,34,0.63,-8.53,2653,2243,1365,790,1940,.407,212,634,.334,451,622,.725,320,1029,367,257,106,471,595,965,1995,.484,236,619,.381,487,662,.736,406,1314,486,237,164,466,572
McNeese State,34,-13.63,-5.48,2352,2565,1375,902,1920,.470,290,747,.388,471,660,.714,347,1169,562,238,85,443,530,858,1991,.431,258,793,.325,378,571,.662,422,1198,385,246,61,499,655
Memphis,35,14.50,6.90,2778,2512,1415,848,2114,.401,279,907,.308,537,727,.739,432,1234,470,253,141,531,649,1004,2096,.479,215,609,.353,555,743,.747,364,1256,546,301,158,467,637
Mercer,33,-5.11,-3.98,2268,2211,1335,774,1798,.430,201,609,.330,462,637,.725,302,1065,354,187,76,391,514,851,1885,.451,196,586,.334,370,536,.690,342,1144,422,185,71,385,592
Merrimack,34,-11.18,-9.12,2128,2119,1360,791,1862,.425,196,621,.316,341,478,.713,397,1271,470,227,106,594,556,732,1745,.419,251,768,.327,413,599,.689,229,974,429,380,139,479,482
